portfolio_id,portfolio_name,ticker,model_name,signal_source,strategy_name,label_mode,label_version,decision_id,signal_id,transaction_id,action,decision_timestamp_utc,market_date,execution_date,execution_price,previous_close,open,high,low,close,volume,quantity,shares_before,shares_after,cash_before,cash_after,position_value_before,position_value_after,portfolio_value_before,portfolio_value_after,weight_target,weight_actual_before,weight_actual,score,confidence,probability_up,threshold_used,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_middle,sma20,sma50,return_1d_after,return_5d_after,return_20d_after,trade_pnl_abs,trade_pnl_pct,holding_period_days,hit,reason,triggered_rules,data_version,strategy_version,generated_at_utc,cumulative_pnl,drawdown_after_trade,max_drawdown_to_date
candle,Model świecowy,AAPL,seed,seed,candle,binary,binary-2026-08,D-candle-f0af11591956,S-AAPL-seed-20230925,T-candle-63636018a0a0,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,174.2,,174.2,176.97,174.15,176.08,46172700,10.0,0.0,10.0,100000.0,98258.0,0.0,1742.0,100000.0,100000.0,0.1,0.0,0.0,,,,,,,,,,,,,,-0.023398,-0.013233,-0.017492,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,MSFT,seed,seed,candle,binary,binary-2026-08,D-candle-f711e8c2e246,S-MSFT-seed-20230925,T-candle-f384f4c3e34b,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,316.59,,316.59,317.67,315.0,317.54,17836000,10.0,0.0,10.0,98258.0,95092.1,0.0,3165.9,98258.0,98258.0,0.1,0.0,0.0,,,,,,,,,,,,,,-0.017006,0.013416,0.037098,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,JPM,seed,seed,candle,binary,binary-2026-08,D-candle-b400b7337847,S-JPM-seed-20230925,T-candle-02edf9ad0c8a,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,145.35,,145.35,146.52,143.7,146.45,7044700,10.0,0.0,10.0,95092.1,93638.6,0.0,1453.5,95092.1,95092.1,0.1,0.0,0.0,,,,,,,,,,,,,,-0.010379,-0.0183,-0.037214,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,XOM,seed,seed,candle,binary,binary-2026-08,D-candle-b5902b4a81d8,S-XOM-seed-20230925,T-candle-e2321de03abc,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,115.09,,115.09,116.65,114.83,116.23,11316000,10.0,0.0,10.0,93638.6,92487.7,0.0,1150.9,93638.6,93638.6,0.1,0.0,0.0,,,,,,,,,,,,,,0.001549,-0.005162,-0.058333,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,JNJ,seed,seed,candle,binary,binary-2026-08,D-candle-50a9c8818ba7,S-JNJ-seed-20230925,T-candle-3aa04671c945,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,160.07,,160.07,160.36,158.73,160.26,6722500,10.0,0.0,10.0,92487.7,90887.0,0.0,1600.7,92487.7,92487.7,0.1,0.0,0.0,,,,,,,,,,,,,,-0.007737,-0.031886,-0.055348,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,UNH,seed,seed,candle,binary,binary-2026-08,D-candle-839dc60cd2cb,S-UNH-seed-20230925,T-candle-99b20edd20ab,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,508.26,,508.26,510.94,506.63,510.28,2758500,10.0,0.0,10.0,90887.0,85804.4,0.0,5082.6,90887.0,90887.0,0.1,0.0,0.0,,,,,,,,,,,,,,-0.009465,0.008407,0.022125,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,PG,seed,seed,candle,binary,binary-2026-08,D-candle-17434d189b1b,S-PG-seed-20230925,T-candle-c1fbab165b11,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,151.18,,151.18,151.28,150.02,150.66,5527000,10.0,0.0,10.0,85804.4,84292.6,0.0,1511.8,85804.4,85804.4,0.1,0.0,0.0,,,,,,,,,,,,,,-0.008894,-0.036307,-0.01666,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,KO,seed,seed,candle,binary,binary-2026-08,D-candle-34405ab24809,S-KO-seed-20230925,T-candle-c75c023c725d,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,57.4,,57.4,57.49,56.74,57.0,12358800,10.0,0.0,10.0,84292.6,83718.6,0.0,574.0,84292.6,84292.6,0.1,0.0,0.0,,,,,,,,,,,,,,-0.008246,-0.026667,-0.051228,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,WMT,seed,seed,candle,binary,binary-2026-08,D-candle-640aa7614344,S-WMT-seed-20230925,T-candle-eab60125d431,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,54.1233,,54.1233,54.37,53.9567,54.3567,10459500,10.0,0.0,10.0,83718.6,83177.37,0.0,541.23,83718.6,83718.6,0.1,0.0,0.0,,,,,,,,,,,,,,-0.003495,-0.018213,-0.012633,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,NEE,seed,seed,candle,binary,binary-2026-08,D-candle-a3da4a669a22,S-NEE-seed-20230925,T-candle-a755a052c150,SEED,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,67.22,,67.22,67.5,66.78,67.47,8656500,10.0,0.0,10.0,83177.37,82505.17,0.0,672.2,83177.37,83177.37,0.1,0.0,0.0,,,,,,,,,,,,,,-0.03157,-0.227064,-0.236401,,,,,seed_position,seed_position,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
candle,Model świecowy,AAPL,candle,candle,candle,binary,binary-2026-08,D-candle-08c9594885a9,S-AAPL-candle-20230925-6f1d3b,T-candle-a82d4517a1af,BUY,2026-09-22T20:04:41Z,2023-09-25,2023-09-25,174.2,,174.2,176.97,174.15,176.08,46172700,1.0,10.0,11.0,82505.17,82330.97,1742.0,1916.2,100068.43,100070.31,0.1,0.0174,0.0191,79.72,0.5944,0.7972,0.5,,,,,,,,,,-0.023398,-0.013233,-0.017492,,,,,prob_above_buy_threshold,prob_above_buy_threshold,2026-05-15,1.0,2026-09-22T20:04:41Z,0.0,0.0,0.0
